water_year,water_year_start,water_year_end,station_code,station_name,variable,flow_m3s,unit,source_reference
1985/86,3885,3886,40800001,P. N. Paraopeba,annual maximum mean daily flow,437,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1986/87,3886,3887,40800001,P. N. Paraopeba,annual maximum mean daily flow,549,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1987/88,3887,3888,40800001,P. N. Paraopeba,annual maximum mean daily flow,601,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1988/89,3888,3889,40800001,P. N. Paraopeba,annual maximum mean daily flow,288,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1989/90,3889,3890,40800001,P. N. Paraopeba,annual maximum mean daily flow,481,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1990/91,3890,3891,40800001,P. N. Paraopeba,annual maximum mean daily flow,927,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1991/92,3891,3892,40800001,P. N. Paraopeba,annual maximum mean daily flow,827,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1992/93,3892,3893,40800001,P. N. Paraopeba,annual maximum mean daily flow,424,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1993/94,3893,3894,40800001,P. N. Paraopeba,annual maximum mean daily flow,603,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1994/95,3894,3895,40800001,P. N. Paraopeba,annual maximum mean daily flow,633,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1995/96,3895,3896,40800001,P. N. Paraopeba,annual maximum mean daily flow,695,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1997/98,3897,3898,40800001,P. N. Paraopeba,annual maximum mean daily flow,296,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1998/99,3898,3899,40800001,P. N. Paraopeba,annual maximum mean daily flow,427,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
